,year,month,precipitation,decade,mean_precipitation,std_precipitation,is_outlier,z_score
1317,2001,Mar,232.8,2000,80.30676691729323,37.962573665604815,True,4.016936112549977
1337,2002,Nov,282.7,2000,94.18646616541353,50.463887150682325,True,3.7356126227790507
1184,1990,Feb,207.4,1990,71.41654135338345,40.5984366403943,True,3.3494752482985235
713,1950,Nov,259.9,1950,94.18646616541353,50.463887150682325,True,3.283804383514396
370,1922,Apr,203.9,1920,89.51052631578948,35.03175888792197,True,3.265307746898459
