month,precipitation,date
Jan,80.16691729323308,2000-01-01
Feb,71.41654135338345,2000-02-01
Mar,80.30676691729323,2000-03-01
Apr,89.51052631578948,2000-04-01
May,110.88571428571429,2000-05-01
Jun,126.34736842105264,2000-06-01
Jul,129.99029850746268,2000-07-01
Aug,134.6766917293233,2000-08-01
Sep,107.89029850746267,2000-09-01
Oct,97.92706766917293,2000-10-01
Nov,94.18646616541353,2000-11-01
Dec,91.1984962406015,2000-12-01
