Station,Altitude [m asl],CH coordinates,Reference period,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Moudon,563,2551368 / 1169636,01.1961-12.1990,85.7,75.5,83.3,82.2,99.7,106.7,92.5,104.9,82.6,86.0,96.8,89.9,1085.8
Moutier,579,2594939 / 1235698,01.1961-12.1990,83.0,78.6,80.3,85.8,104.7,117.3,95.0,108.3,70.8,73.2,91.3,87.4,1075.7
Muotathal,620,2700940 / 1203189,01.1961-12.1990,141.4,137.0,152.6,168.0,171.7,231.6,230.3,229.3,147.0,125.9,152.5,152.8,2040.1
"Muri, AG",577,2667276 / 1235322,01.1961-12.1990,79.7,80.3,79.8,98.6,115.4,133.2,116.7,127.3,90.7,73.7,89.0,84.2,1168.6
Murten,433,2576991 / 1199048,01.1961-12.1990,72.7,66.9,73.5,72.1,95.6,105.6,92.2,104.6,79.7,72.5,84.6,74.9,994.9
Möhlin,343,2633053 / 1269147,01.1961-12.1990,75.9,71.9,74.0,82.2,104.8,107.2,92.9,109.4,80.7,70.9,85.2,85.1,1040.2
Mülligen,393,2659783 / 1256026,01.1961-12.1990,83.3,81.0,78.6,85.1,100.8,113.7,98.6,119.3,82.1,73.7,90.6,84.6,1091.4
Mürren,1632,2634610 / 1156091,01.1961-12.1990,105.9,92.6,121.5,124.2,132.3,155.8,146.8,157.7,96.4,92.6,106.6,101.4,1433.8
Müstair,1248,2831186 / 1169358,01.1961-12.1990,34.7,33.0,42.3,52.0,80.0,74.0,81.5,86.3,60.8,55.8,55.5,34.5,690.4
Napf,1404,2638137 / 1206079,01.1961-12.1990,112.3,127.9,118.6,135.9,170.1,212.7,169.6,202.1,128.9,101.8,127.9,128.4,1736.2
Nesselboden,1055,2605295 / 1232697,01.1961-12.1990,140.6,130.8,136.8,118.3,145.2,156.7,133.0,157.5,109.1,119.5,146.9,151.5,1645.9
Neuchâtel,485,2563086 / 1205559,01.1961-12.1990,71.4,68.5,69.6,64.3,83.5,94.4,80.9,99.3,81.6,68.3,80.9,79.3,942.0
Niederneunforn,440,2700861 / 1272509,01.1961-12.1990,57.1,56.3,54.0,71.6,88.2,105.8,90.2,101.9,67.2,58.8,71.5,60.6,883.2
Nyon / Changins,458,2506877 / 1139573,01.1961-12.1990,83.4,82.7,80.1,62.2,77.7,83.1,67.2,75.0,77.9,76.2,92.3,96.0,953.8
Oberiberg,1075,2701841 / 1210463,01.1961-12.1990,130.7,132.1,138.2,154.2,172.2,230.9,229.6,225.4,144.3,114.2,143.6,142.5,1957.9
Oberwald,1375,2669650 / 1154049,01.1961-12.1990,133.8,131.7,137.2,126.3,126.7,123.9,103.1,131.5,97.4,130.3,145.2,141.2,1528.3
Obstalden,689,2730891 / 1219536,01.1961-12.1990,94.3,94.6,99.4,117.9,139.0,181.2,172.2,182.7,117.2,94.8,110.0,110.3,1513.6
Olivone,890,2714903 / 1154143,01.1961-12.1990,73.2,77.5,91.0,135.7,165.9,131.1,123.5,154.3,146.7,131.0,129.9,69.9,1429.7
Opfikon,424,2684614 / 1254697,01.1961-12.1990,80.6,81.9,79.5,91.0,107.9,126.9,113.6,117.8,90.5,73.8,95.4,88.3,1147.2
Orbe,438,2531750 / 1176425,01.1961-12.1990,68.4,63.0,63.1,56.6,74.6,85.1,72.8,85.4,69.8,59.1,70.6,72.9,841.4
Orsières,929,2577021 / 1096695,01.1961-12.1990,66.0,61.2,63.7,57.6,65.2,66.0,67.2,67.3,52.9,63.2,68.4,73.1,771.8
Orzens,624,2542134 / 1174815,01.1961-12.1990,78.4,69.4,75.2,69.7,90.4,97.6,88.7,94.3,79.8,71.3,84.1,76.3,975.2
Otelfingen,435,2671520 / 1257079,01.1961-12.1990,82.8,81.9,78.5,85.4,99.2,115.6,103.0,113.2,82.2,72.0,90.0,87.3,1091.1
Passo del Bernina,2260,2798423 / 1143019,01.1961-12.1990,107.7,95.9,128.9,161.4,177.5,144.0,146.1,156.6,145.4,157.0,180.2,108.0,1708.7
Payerne,490,2562130 / 1184611,01.1961-12.1990,57.0,52.4,60.3,61.9,83.4,92.3,82.9,92.6,68.3,62.8,68.4,58.8,841.1
Payerne / Ville,447,2561614 / 1187040,01.1961-12.1990,69.4,61.2,67.3,65.9,85.7,97.1,82.6,98.3,71.4,68.2,75.8,67.0,909.9
"Pfäffikon, ZH",537,2699400 / 1248164,01.1961-12.1990,73.1,74.4,73.6,98.8,112.0,135.3,131.9,136.3,93.3,73.2,84.0,76.5,1162.4
Pigniu,1325,2727950 / 1185714,01.1961-12.1990,80.7,80.7,85.5,87.4,103.3,121.8,120.4,134.8,102.5,80.1,99.8,90.5,1187.5
Pilatus,2105,2661904 / 1203410,01.1961-12.1990,139.1,119.5,127.7,158.7,153.9,154.4,146.3,158.4,100.1,76.6,123.0,130.7,1588.4
Piotta,990,2695880 / 1152264,01.1961-12.1990,76.4,83.3,96.4,131.5,161.2,120.7,113.9,141.4,139.0,146.4,132.6,69.7,1412.5
Piz Corvatsch,3294,2783155 / 1143524,01.1961-12.1990,83.7,82.5,91.1,97.9,139.3,142.5,125.1,123.2,98.9,79.9,107.9,73.4,1245.4
Plaffeien,1042,2586828 / 1177406,01.1961-12.1990,69.9,60.0,78.1,101.4,137.6,153.1,133.5,154.9,106.9,89.3,87.7,76.4,1248.8
Pleigne,738,2587683 / 1251978,01.1961-12.1990,91.9,87.0,93.3,106.0,123.1,133.0,101.9,114.7,83.6,81.0,103.2,97.5,1216.2
Ponte Tresa,274,2710110 / 1091628,01.1961-12.1990,82.3,82.7,121.6,181.9,225.9,191.1,157.6,183.1,179.4,180.0,150.4,70.1,1806.1
Pontresina,1787,2787950 / 1153832,01.1961-12.1990,40.4,31.2,39.9,53.4,90.7,86.1,92.4,104.4,80.2,68.1,75.7,36.6,799.1
Poschiavo / Robbia,1078,2801993 / 1136248,01.1961-12.1990,59.1,40.6,57.5,80.7,114.3,100.5,104.9,106.0,94.3,93.4,100.0,57.1,1008.4
Pully,456,2540819 / 1151510,01.1961-12.1990,82.9,72.8,81.3,83.6,100.8,114.9,90.8,110.6,99.7,93.3,97.3,88.4,1116.4
Punt la Drossa,1713,2810567 / 1170637,01.1961-12.1990,50.6,44.0,48.8,65.4,102.3,85.7,101.4,103.0,75.3,65.5,71.5,50.7,864.2
Reigoldswil,605,2617672 / 1249938,01.1961-12.1990,85.5,80.9,83.9,103.6,116.3,128.6,102.6,120.3,89.6,79.6,94.4,89.4,1174.7
Rempen,650,2710610 / 1221849,01.1961-12.1990,107.3,104.8,117.6,141.6,164.0,217.4,197.9,212.4,136.9,110.2,126.4,121.9,1758.4
Rheinau,372,2687881 / 1277979,01.1961-12.1990,77.9,73.4,66.4,76.5,90.5,108.2,98.4,112.3,70.8,69.0,87.0,79.9,1010.3
Rheinfelden,300,2626970 / 1266320,01.1961-12.1990,73.6,67.9,69.3,77.9,97.4,99.8,86.4,102.1,75.1,65.8,78.5,80.3,974.1
Ricken,836,2722680 / 1235901,01.1961-12.1990,117.0,113.5,121.4,151.5,173.9,212.7,198.0,209.7,144.0,114.9,128.2,123.5,1808.3
Riedholz / Wallierhof,518,2609394 / 1231491,01.1961-12.1990,113.5,106.6,94.7,87.7,114.7,128.3,112.8,140.7,90.4,98.6,120.5,123.2,1331.7
Riehen,390,2617757 / 1271022,01.1961-12.1990,58.3,56.1,55.4,68.5,97.7,99.1,86.7,95.2,64.9,56.1,62.4,62.5,862.9
Riex,460,2546091 / 1149422,01.1961-12.1990,99.0,85.3,94.6,95.7,110.3,127.5,106.4,128.1,102.7,99.1,107.6,98.8,1255.1
Riggisberg,775,2603424 / 1184499,01.1961-12.1990,69.7,69.3,78.4,108.2,120.4,142.4,125.7,143.6,95.2,79.2,85.0,75.6,1192.7
Romont,692,2561475 / 1172622,01.1961-12.1990,84.4,74.3,88.1,90.7,112.1,116.1,108.5,121.1,91.0,89.1,99.3,85.4,1160.1
Rothenbrunnen,620,2751221 / 1181292,01.1961-12.1990,48.9,44.9,53.3,57.7,84.5,93.4,93.0,104.9,86.5,57.5,71.0,54.5,850.1
Rünenberg,611,2633252 / 1253846,01.1961-12.1990,56.3,54.7,61.2,80.1,107.9,112.3,103.0,111.9,82.7,69.6,72.0,66.5,978.2
S. Bernardino,1639,2734116 / 1147293,01.1961-12.1990,83.3,75.2,99.0,155.5,197.4,158.6,151.2,166.5,164.0,151.2,134.0,77.4,1613.3
Saas Fee,1796,2638235 / 1106761,01.1961-12.1990,40.8,43.4,59.4,66.2,75.9,56.3,41.1,58.7,45.0,76.0,64.1,44.0,670.9
Safien Platz,1296,2743556 / 1171436,01.1961-12.1990,59.1,54.1,66.4,78.2,105.4,117.7,124.0,132.1,105.6,75.5,82.4,59.5,1060.0
Saignelégier,883,2565349 / 1234100,01.1961-12.1990,127.3,121.3,116.5,117.0,150.4,152.0,124.8,141.1,105.2,98.1,127.0,130.1,1510.8
Salen-Reutenen,719,2719100 / 1279046,01.1961-12.1990,37.3,40.0,43.9,69.3,88.9,104.1,99.5,107.4,75.4,58.8,58.8,44.8,828.2
Salez / Saxerriet,436,2755558 / 1233373,01.1961-12.1990,76.1,75.0,76.9,95.8,114.6,152.1,163.7,163.5,114.6,75.2,91.8,84.5,1283.8
Samedan,1709,2787250 / 1155684,01.1961-12.1990,30.4,24.6,29.6,41.9,79.1,87.8,90.1,99.8,71.4,59.6,54.4,31.6,700.3
Sangernboden,1035,2593219 / 1173905,01.1961-12.1990,98.6,94.4,106.0,129.4,158.2,186.9,164.8,178.3,119.0,99.7,114.9,105.8,1556.0
Sargans,585,2752065 / 1213348,01.1961-12.1990,108.8,100.1,105.1,116.9,125.9,154.6,150.2,164.5,119.9,85.9,112.2,116.5,1460.6
Sarnen,471,2662147 / 1194359,01.1961-12.1990,60.6,61.7,69.2,84.0,108.6,134.2,134.2,147.6,87.0,69.0,75.0,63.4,1094.5
"Sattel, SZ",790,2691000 / 1215145,01.1961-12.1990,114.2,106.8,124.0,153.5,165.1,216.9,205.3,220.3,138.7,116.8,130.1,122.3,1814.0
Savognin,1172,2765387 / 1162662,01.1961-12.1990,51.1,42.0,53.8,63.7,95.5,102.6,108.1,116.8,94.8,68.6,70.9,49.4,917.3
Schaan,444,2755510 / 1228259,01.1961-12.1990,66.9,58.7,63.2,78.1,100.0,132.8,138.9,144.2,101.7,65.9,75.7,72.5,1098.6
Schaffhausen,438,2688703 / 1282803,01.1961-12.1990,69.9,68.8,63.1,70.4,82.9,104.3,94.7,105.6,66.5,67.7,78.8,76.3,949.0
Schleitheim,497,2678236 / 1288716,01.1961-12.1990,69.1,62.3,59.0,61.5,74.3,90.4,82.8,92.0,55.4,57.5,72.3,74.3,850.9
Schwarzenburg,806,2593149 / 1184720,01.1961-12.1990,77.4,71.3,85.8,108.9,140.3,153.5,125.6,148.4,102.9,87.2,94.5,79.9,1275.7
Schwarzenegg,902,2621687 / 1183859,01.1961-12.1990,68.7,66.7,79.3,103.4,135.2,160.3,149.9,161.3,96.4,78.2,82.1,70.9,1252.4
Schwyz,479,2691646 / 1208411,01.1961-12.1990,101.4,99.1,119.7,139.6,149.4,181.5,182.4,198.8,122.7,102.1,120.1,112.6,1629.4
Schwägalp,1348,2742180 / 1235649,01.1961-12.1990,184.3,170.1,190.2,225.9,231.4,287.9,278.7,268.6,197.0,158.6,194.0,190.0,2576.7
Schänis,415,2719940 / 1225579,01.1961-12.1990,93.6,91.6,103.9,134.8,164.1,211.7,201.8,217.6,138.7,106.0,113.7,101.8,1679.3
Scudellate,920,2724253 / 1086841,01.1961-12.1990,81.7,82.2,124.1,190.6,239.9,190.0,153.2,175.4,168.5,166.1,141.4,76.2,1789.3
Scuol,1304,2817138 / 1186393,01.1961-12.1990,38.4,36.9,36.2,39.1,72.7,74.6,86.9,96.1,63.7,50.5,57.0,41.3,693.4
Sedrun,1431,2699952 / 1169848,01.1961-12.1990,97.8,99.1,96.3,105.5,116.9,116.8,110.6,134.0,105.8,104.2,119.2,101.1,1307.3
Seengen,445,2656680 / 1242100,01.1961-12.1990,83.1,80.3,77.5,86.2,99.7,118.9,108.2,121.3,85.8,68.0,89.1,87.9,1106.0
Segl-Maria,1804,2778576 / 1144976,01.1961-12.1990,50.1,42.0,60.3,78.7,104.5,104.6,108.8,121.2,92.7,81.9,85.1,48.5,978.4
Sempach,532,2657439 / 1220764,01.1961-12.1990,68.6,66.9,69.7,88.3,115.3,148.2,119.1,137.6,86.6,66.2,80.2,67.4,1114.1
Semsales,874,2561108 / 1158427,01.1961-12.1990,107.8,93.5,107.4,111.5,132.8,159.9,129.0,135.6,119.0,113.1,123.0,112.0,1444.6
Sevelen,457,2755605 / 1221301,01.1961-12.1990,71.8,77.8,71.9,84.9,108.0,139.9,150.1,154.1,106.8,70.8,90.2,79.6,1205.9
Siebnen,452,2710821 / 1225537,01.1961-12.1990,91.0,92.3,99.2,125.1,148.3,184.5,182.9,197.0,125.2,91.7,107.7,100.3,1545.2
Sierre,540,2608597 / 1127297,01.1961-12.1990,64.9,64.5,54.4,40.3,43.1,54.1,48.1,58.3,36.9,52.8,67.4,72.1,656.9
Sihlbrugg,549,2686318 / 1230585,01.1961-12.1990,75.8,77.6,85.6,113.7,135.5,170.3,153.3,159.8,107.9,80.9,93.7,84.6,1338.7
Simplon-Dorf,1465,2647682 / 1116339,01.1961-12.1990,72.4,81.8,102.8,130.7,146.0,93.7,70.0,97.4,78.8,151.7,119.5,71.4,1216.2
Sion,482,2591632 / 1118583,01.1961-12.1990,53.2,56.8,47.7,35.6,41.2,51.9,47.9,54.5,37.8,50.0,60.1,61.2,597.9
Sissach,374,2627500 / 1257130,01.1961-12.1990,67.0,64.6,65.3,82.2,107.7,119.9,94.8,122.0,85.1,67.6,76.6,74.1,1026.9
Soglio,1086,2761393 / 1134473,01.1961-12.1990,63.2,55.4,85.5,133.8,178.5,161.6,151.5,167.1,142.1,133.2,128.4,59.1,1459.4
Sonogno,910,2703884 / 1134026,01.1961-12.1990,91.6,110.7,128.9,203.4,229.5,191.5,197.4,217.2,249.3,229.9,182.0,78.2,2109.6
Splügen,1460,2744420 / 1157434,01.1961-12.1990,62.3,58.5,79.4,126.8,152.9,137.9,140.1,156.4,143.3,120.9,115.5,63.6,1357.6
St. Antönien,1456,2781634 / 1205103,01.1961-12.1990,111.8,92.3,104.0,102.1,126.7,164.3,190.0,173.6,116.4,82.5,101.3,104.7,1469.7
St. Gallen,776,2747865 / 1254587,01.1961-12.1990,72.6,70.4,81.1,125.4,155.2,178.5,177.3,180.1,132.2,82.5,92.9,78.3,1426.5
St. Peterzell,700,2731250 / 1242139,01.1961-12.1990,108.8,110.0,112.2,131.1,152.6,191.4,181.3,182.7,134.5,95.4,119.9,115.3,1635.2
St. Urban,488,2630369 / 1229411,01.1961-12.1990,90.4,87.5,82.8,88.7,109.8,123.8,108.7,123.1,88.1,78.3,96.4,96.7,1174.3
"Sta. Maria, Val Müstair",1386,2828862 / 1165579,01.1961-12.1990,32.6,27.4,38.6,53.6,83.4,79.9,96.2,103.0,79.3,59.9,59.2,32.9,746.0
Stabio,351,2716048 / 1077971,01.1961-12.1990,80.4,78.9,113.7,151.2,186.1,141.5,112.1,157.2,131.4,148.2,123.3,66.1,1490.1
Stalden / Ackersand,701,2633608 / 1121114,01.1961-12.1990,35.7,37.0,47.1,46.9,47.0,45.1,33.3,43.0,32.6,53.0,58.3,42.0,521.0
Stallikon,754,2680334 / 1239849,01.1961-12.1990,73.6,75.6,76.5,107.9,132.3,146.2,132.0,143.1,105.4,72.6,83.8,76.8,1225.8
Stans,439,2669015 / 1202411,01.1961-12.1990,65.0,65.4,75.4,101.8,122.4,156.0,147.4,165.9,101.4,75.1,79.2,69.1,1224.1
Starkenbach,897,2737313 / 1227575,01.1961-12.1990,139.1,134.2,139.9,151.5,159.2,205.7,213.6,224.7,148.3,121.1,143.5,153.5,1934.3
Steckborn,399,2715170 / 1280179,01.1961-12.1990,64.0,62.4,58.0,74.9,94.7,98.9,94.2,96.1,69.1,60.2,73.8,66.5,912.8
Stiegelschwand,1456,2607170 / 1148545,01.1961-12.1990,121.9,125.5,131.5,117.3,128.6,176.3,169.8,177.1,113.7,100.3,133.1,142.6,1637.7
Stöckalp,1070,2664320 / 1183549,01.1961-12.1990,107.9,112.6,125.0,134.9,169.6,188.5,191.6,203.4,120.5,102.0,128.1,117.2,1701.3
Sulgen,445,2731025 / 1267174,01.1961-12.1990,65.4,63.3,66.0,89.5,114.0,126.7,113.3,124.9,94.5,67.9,78.2,67.4,1071.1
Susch,1416,2802002 / 1181593,01.1961-12.1990,57.1,45.8,50.1,58.3,90.4,97.3,110.7,114.6,78.0,56.0,70.1,54.3,882.7
