Station,Altitude [m asl],CH coordinates,Reference period,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Säntis,2501,2744188 / 1234920,01.1961-12.1990,233.9,195.8,200.0,223.4,199.4,249.6,270.3,288.2,206.4,173.9,211.7,248.2,2700.8
Tamins,668,2750155 / 1188621,01.1961-12.1990,79.5,76.0,76.2,79.1,99.4,120.7,112.8,123.7,100.2,70.3,91.6,85.4,1114.9
Tavanasa,800,2722750 / 1178979,01.1961-12.1990,81.0,79.9,74.4,84.7,101.5,103.0,102.8,113.0,101.7,82.3,105.9,86.9,1117.1
"Teufen, AR",834,2747784 / 1250408,01.1961-12.1990,88.6,87.8,95.5,133.0,163.5,191.4,183.6,184.3,138.6,91.5,103.4,90.5,1551.7
Thierrens,770,2547569 / 1172610,01.1961-12.1990,85.1,75.8,86.2,79.9,102.3,110.8,96.1,103.4,88.9,84.8,95.8,84.4,1093.5
Thun,570,2611200 / 1177640,01.1961-12.1990,49.2,46.3,54.4,76.2,99.5,118.8,113.6,128.7,72.5,56.8,59.1,49.6,924.7
Thundorf,560,2714740 / 1267439,01.1961-12.1990,63.9,64.3,62.3,85.7,106.7,113.6,112.7,112.9,81.9,64.3,79.2,67.9,1015.4
Thusis,672,2753155 / 1175088,01.1961-12.1990,48.6,40.5,50.3,59.3,83.1,92.4,98.7,107.1,89.4,63.1,72.1,47.2,851.8
Tiefencastel,897,2763442 / 1170267,01.1961-12.1990,46.5,36.8,40.3,46.1,80.9,91.7,101.1,109.5,81.8,57.4,66.2,49.3,807.6
Torricella / Crana,1002,2712695 / 1103744,01.1961-12.1990,80.8,88.9,139.4,211.2,272.3,221.9,191.5,210.8,217.2,206.0,167.6,77.9,2085.5
Tour de Gourze,915,2546452 / 1151241,01.1961-12.1990,96.3,79.8,96.2,95.6,115.5,130.3,103.7,130.2,104.4,100.3,105.8,95.5,1253.6
Trogen,975,2752170 / 1251769,01.1961-12.1990,86.2,86.7,94.9,144.0,172.6,202.6,208.5,199.9,153.3,97.8,106.5,90.6,1643.6
Trun,834,2719985 / 1178223,01.1961-12.1990,75.6,73.6,75.1,87.2,108.1,102.2,99.2,115.7,100.9,85.5,100.7,80.8,1104.6
Tschiertschen,1273,2765538 / 1187678,01.1961-12.1990,64.5,60.9,65.1,75.3,105.1,127.9,132.1,140.8,108.4,69.4,81.5,66.7,1097.7
Uerikon,415,2699740 / 1232469,01.1961-12.1990,76.7,77.8,80.7,98.8,120.0,148.4,149.2,160.7,106.6,75.5,87.2,82.7,1264.3
Ulrichen,1346,2666747 / 1150766,01.1961-12.1990,97.3,92.0,101.1,98.0,103.6,90.3,67.3,98.7,66.8,103.0,115.0,103.4,1136.5
Unterkulm,454,2650838 / 1241212,01.1961-12.1990,89.2,91.2,86.1,92.5,102.5,126.7,112.0,122.9,87.9,73.1,98.3,96.1,1178.5
Unterschächen,1470,2701900 / 1191999,01.1961-12.1990,134.7,137.6,155.0,169.4,172.0,209.1,213.7,217.2,139.5,117.8,147.3,147.7,1961.0
Urnerboden,1395,2712650 / 1195249,01.1961-12.1990,115.7,112.6,121.7,136.3,140.8,199.1,232.8,237.9,151.8,110.6,134.1,120.6,1814.0
Urnäsch,825,2739206 / 1241761,01.1961-12.1990,119.0,115.2,122.0,154.6,176.5,209.8,204.1,195.7,147.2,107.1,128.4,123.0,1802.6
Uster,438,2694760 / 1245190,01.1961-12.1990,78.4,77.3,77.2,92.8,110.8,137.2,128.8,131.6,93.0,69.4,86.6,81.3,1164.4
Vaduz,457,2757723 / 1221699,01.1961-12.1990,50.8,49.2,52.1,66.0,95.2,126.5,139.4,143.4,98.8,62.3,65.7,57.4,1006.8
Valeyres-sous-Rances,510,2530240 / 1178344,01.1961-12.1990,78.3,77.7,70.7,59.0,80.1,86.9,74.2,85.0,72.2,64.1,80.1,88.9,917.2
Vallorbe,748,2519399 / 1174060,01.1961-12.1990,126.6,116.6,108.9,102.2,121.2,132.1,98.0,112.1,99.0,102.0,126.6,136.8,1382.1
Vals,1242,2734017 / 1165551,01.1961-12.1990,49.5,50.8,61.2,88.1,115.3,110.9,113.2,128.7,114.8,85.7,88.8,55.8,1062.8
Vella,1245,2732650 / 1175669,01.1961-12.1990,60.4,55.1,67.4,81.0,100.3,104.6,100.8,115.2,101.2,72.4,86.4,59.5,1004.3
Vevey / Corseaux,405,2552105 / 1146847,01.1961-12.1990,82.4,73.8,84.9,86.8,99.2,122.8,110.1,136.9,103.2,92.5,93.8,80.9,1167.3
Vicosoprano,1089,2768486 / 1135865,01.1961-12.1990,72.8,67.8,85.9,135.5,174.1,139.1,133.3,148.3,128.2,124.4,130.0,68.6,1408.0
Villars-Tiercelin,859,2544197 / 1163651,01.1961-12.1990,95.0,83.4,92.6,83.3,97.1,105.7,85.8,101.4,87.5,95.8,108.2,102.7,1138.5
"Vira, Gambarogno",225,2709402 / 1111548,01.1961-12.1990,82.2,82.4,119.1,191.3,221.8,189.7,165.6,192.3,193.8,188.2,155.5,68.0,1849.9
Visp,639,2631150 / 1128024,01.1961-12.1990,49.7,53.1,58.0,47.1,45.8,45.3,36.1,41.9,31.6,57.1,69.6,63.3,598.6
Vrin,1384,2727424 / 1168525,01.1961-12.1990,60.0,58.9,72.8,89.2,115.2,125.5,130.5,138.9,117.5,84.9,90.4,59.5,1143.3
Vättis,939,2752732 / 1197281,01.1961-12.1990,81.6,78.5,75.1,75.3,100.9,125.3,130.1,137.5,106.5,70.1,89.9,90.4,1161.2
Wahlendorf,760,2592250 / 1205940,01.1961-12.1990,88.4,80.4,89.2,90.0,113.6,116.5,108.5,115.7,86.2,82.6,95.4,91.6,1158.1
Wald / Tanne,1075,2757025 / 1254229,01.1961-12.1990,70.6,70.1,75.3,112.2,141.2,172.7,184.2,184.5,134.7,82.9,86.5,71.5,1386.4
Waldegg,545,2676761 / 1246210,01.1961-12.1990,76.9,74.3,74.1,94.2,112.4,127.2,118.8,123.8,93.1,69.9,85.6,82.2,1132.5
Waldenburg,525,2623380 / 1248275,01.1961-12.1990,82.2,82.4,85.8,97.4,109.7,126.8,102.2,117.0,84.6,79.0,95.1,93.1,1155.3
Waldweide,1014,2621375 / 1247325,01.1961-12.1990,67.6,69.1,75.8,95.9,110.3,136.8,112.2,122.4,91.5,84.6,92.2,79.4,1137.8
Wangen b. Olten,437,2633272 / 1242768,01.1961-12.1990,70.6,70.3,64.9,69.8,90.3,105.8,89.4,101.4,75.5,68.7,78.9,81.2,966.8
Wasen im Emmental,768,2627861 / 1210554,01.1961-12.1990,88.1,83.2,98.7,128.6,165.2,183.6,160.5,172.1,116.1,94.0,109.2,89.4,1488.7
Weesen,425,2724983 / 1221382,01.1961-12.1990,104.3,103.6,111.5,139.1,158.7,193.3,193.1,198.7,128.5,107.3,119.5,125.6,1683.2
Weinfelden,477,2726403 / 1269982,01.1961-12.1990,58.1,58.6,56.7,74.5,96.5,108.6,98.8,103.4,79.5,58.6,72.9,62.7,928.9
Weissfluhjoch,2691,2780615 / 1189634,01.1961-12.1990,135.0,135.0,121.6,102.0,142.8,169.0,166.7,159.9,110.6,81.1,125.4,137.2,1586.3
Weisstannen,1010,2744900 / 1205819,01.1961-12.1990,102.5,98.3,107.9,111.2,125.4,151.5,161.4,169.4,119.8,87.8,115.7,114.2,1465.1
Widnau,414,2766489 / 1248854,01.1961-12.1990,63.4,63.3,62.2,92.6,123.6,149.2,158.5,157.3,106.7,70.0,77.9,67.6,1192.3
"Wil, ZH",406,2680341 / 1273224,01.1961-12.1990,84.5,82.4,79.2,83.4,91.1,108.2,91.2,108.1,73.5,73.1,95.1,90.7,1060.5
Wilchingen,413,2676253 / 1280055,01.1961-12.1990,74.8,69.5,66.0,71.2,76.1,97.6,83.5,100.6,64.8,67.3,85.3,81.5,938.2
Wildhaus,998,2746129 / 1229567,01.1961-12.1990,103.6,104.3,101.7,112.7,144.1,199.4,199.9,201.6,139.1,100.3,119.3,114.1,1640.1
Wimmis,648,2617298 / 1168863,01.1961-12.1990,94.2,91.9,97.9,112.0,126.2,150.6,138.1,157.0,91.9,82.7,100.8,97.1,1340.4
Winterthur / Seen,506,2699845 / 1259053,01.1961-12.1990,75.7,75.4,74.2,87.2,102.3,117.1,110.9,115.8,86.3,70.6,88.6,81.7,1085.8
Wittnau,463,2639941 / 1258983,01.1961-12.1990,87.4,78.4,88.0,90.0,106.3,117.1,95.6,116.2,83.4,74.3,91.5,91.1,1119.3
Witzwil,433,2570636 / 1205385,01.1961-12.1990,71.4,65.1,70.2,66.0,87.5,96.7,85.8,99.6,80.1,71.5,85.3,75.8,955.0
Wynau,422,2626405 / 1233849,01.1961-12.1990,75.6,71.8,69.9,69.4,95.4,107.6,94.0,104.2,78.9,75.9,84.0,86.6,1013.3
Wädenswil,485,2693847 / 1230744,01.1961-12.1990,91.2,85.2,92.7,108.4,129.3,150.9,148.1,156.7,107.5,86.1,100.7,96.5,1353.3
Yverdon-les-Bains,432,2539851 / 1181493,01.1961-12.1990,71.0,64.1,64.8,59.0,79.5,91.9,79.0,91.2,77.2,65.6,75.5,74.3,893.1
Zermatt,1638,2624297 / 1097574,01.1961-12.1990,42.6,46.2,48.9,49.8,60.6,56.4,47.0,59.9,40.9,54.6,55.4,48.5,610.8
Zernez,1465,2802572 / 1175429,01.1961-12.1990,45.0,37.1,41.8,46.7,79.4,83.2,94.7,102.9,66.7,49.6,61.6,42.9,751.6
Zervreila,1738,2728780 / 1159992,01.1961-12.1990,71.2,69.8,85.8,105.3,139.7,134.9,140.1,147.9,128.4,104.6,103.1,74.6,1305.4
Zofingen,432,2638189 / 1236711,01.1961-12.1990,91.2,90.8,82.7,88.9,110.7,133.7,110.1,124.5,92.4,78.8,98.9,101.1,1203.8
Zug,435,2682330 / 1225469,01.1961-12.1990,67.1,66.5,75.1,98.5,128.0,155.7,144.6,158.0,102.6,76.5,79.9,71.1,1223.6
Zugerberg,880,2683303 / 1223008,01.1961-12.1990,69.9,67.8,84.0,111.7,133.5,174.4,159.1,180.4,114.7,82.8,85.8,70.4,1334.5
Zweisimmen,936,2595880 / 1155471,01.1961-12.1990,98.9,96.5,92.1,89.5,110.6,133.6,128.9,131.0,82.2,78.9,101.6,105.3,1249.1
Zwillikon,461,2675138 / 1238164,01.1961-12.1990,61.8,65.6,64.5,88.6,113.9,145.4,124.5,141.1,91.9,68.8,73.8,66.2,1106.1
Zürich / Affoltern,444,2681433 / 1253547,01.1961-12.1990,68.6,69.1,67.7,82.3,99.5,116.8,105.1,120.2,86.2,67.5,82.8,76.2,1042.0
Zürich / Fluntern,556,2685117 / 1248065,01.1961-12.1990,67.0,69.6,69.0,86.9,102.8,124.4,117.4,132.6,92.3,69.1,81.6,73.1,1085.8
Zürich / Kloten,426,2682711 / 1259338,01.1961-12.1990,67.0,68.2,68.4,78.0,96.1,115.2,105.7,121.1,83.3,70.3,84.1,73.9,1031.3
